(1, 5, 6, 39, 17, 27, 28)
(2, 3, 10, 15, 16, 20, 26)
(32, 35, 6, 7, 17, 24, 25)
(1, 39, 11, 14, 18, 25, 29)
(33, 7, 13, 17, 22, 23, 25)
(1, 2, 5, 38, 18, 24, 26)
(36, 39, 9, 10, 12, 20, 22)
(34, 5, 38, 39, 9, 10, 15)
(33, 2, 3, 13, 17, 27, 28)
(32, 5, 6, 13, 22, 29, 31)
(1, 2, 6, 38, 12, 13, 22)
(32, 37, 38, 39, 8, 13, 27)
(33, 34, 6, 10, 22, 24, 25)
(33, 3, 7, 9, 18, 22, 30)
(33, 2, 34, 37, 9, 25, 28)
(2, 4, 39, 7, 12, 19, 28)
(3, 35, 6, 7, 13, 21, 23)
(1, 2, 39, 11, 23, 26, 28)
(1, 2, 5, 39, 21, 29, 31)
(9, 12, 14, 15, 21, 25, 27)
(1, 35, 8, 11, 15, 26, 31)
(32, 33, 4, 12, 13, 16, 29)
(32, 6, 9, 18, 19, 21, 31)
(1, 4, 5, 38, 16, 17, 25)
(5, 7, 8, 9, 15, 19, 25)
(32, 4, 9, 12, 17, 23, 27)
(34, 38, 7, 11, 12, 25, 31)
(1, 36, 6, 8, 14, 19, 21)
(5, 11, 12, 17, 19, 25, 30)
(32, 3, 38, 7, 14, 19, 28)
(32, 1, 35, 37, 10, 20, 25)
(32, 36, 5, 16, 24, 27, 31)
(2, 3, 9, 15, 21, 24, 30)
(2, 5, 38, 39, 12, 20, 25)
(32, 3, 5, 8, 9, 17, 29)
(33, 37, 5, 7, 14, 19, 22)
(33, 1, 2, 4, 10, 14, 31)
(2, 6, 9, 15, 17, 20, 22)
(10, 15, 19, 24, 25, 26, 27)
(34, 35, 5, 6, 38, 16, 31)
(3, 12, 17, 20, 24, 25, 27)
(34, 2, 36, 37, 38, 3, 5)
(36, 12, 13, 15, 24, 28, 29)
(1, 34, 38, 39, 8, 6, 30)
(33, 6, 9, 15, 19, 27, 30)
(35, 4, 9, 13, 21, 27, 28)
(2, 35, 36, 11, 15, 25, 30)
(35, 3, 8, 15, 16, 19, 22)
(5, 38, 7, 9, 13, 26, 28)
(32, 2, 6, 39, 13, 17, 26)
(39, 16, 17, 18, 23, 26, 31)
(3, 37, 12, 15, 19, 27, 28)
(2, 36, 38, 10, 17, 18, 20)
(33, 1, 35, 37, 6, 26, 29)
(33, 7, 39, 8, 21, 26, 31)
(1, 38, 7, 11, 16, 26, 27)
(1, 36, 9, 11, 19, 27, 28)
(2, 35, 37, 7, 15, 26, 28)
(4, 39, 8, 9, 25, 28, 31)
(33, 37, 38, 12, 13, 21, 28)
(32, 34, 12, 13, 21, 22, 25)
(32, 37, 7, 13, 18, 25, 26)
(34, 36, 9, 13, 15, 20, 25)
(33, 34, 37, 38, 27, 30, 31)
(35, 4, 39, 12, 13, 24, 25)
(33, 34, 35, 3, 10, 11, 31)
(5, 38, 8, 11, 15, 18, 28)
(2, 35, 36, 4, 8, 19, 23)
(5, 11, 14, 16, 23, 24, 26)
(35, 6, 7, 10, 14, 20, 26)
(36, 37, 6, 12, 13, 14, 20)
(33, 4, 37, 8, 10, 21, 22)
(6, 10, 11, 15, 20, 23, 27)
(1, 38, 13, 21, 23, 30, 31)
(35, 4, 10, 15, 17, 22, 30)
(35, 37, 6, 13, 18, 22, 27)
(32, 33, 35, 36, 37, 7, 21)
(1, 3, 4, 9, 11, 13, 24)
(32, 3, 14, 22, 24, 25, 31)
(37, 6, 11, 18, 21, 26, 28)
(33, 2, 39, 9, 11, 15, 31)
(2, 9, 16, 17, 23, 24, 25)
(7, 11, 12, 13, 18, 21, 27)
(34, 6, 8, 15, 21, 22, 31)
(33, 34, 6, 39, 15, 23, 29)
(34, 2, 39, 8, 9, 22, 24)
(1, 36, 12, 15, 20, 26, 27)
(2, 37, 6, 20, 23, 25, 31)
(1, 3, 38, 14, 21, 27, 29)
(11, 16, 17, 20, 21, 27, 28)
(33, 35, 7, 8, 18, 19, 24)
(34, 12, 14, 18, 21, 23, 31)
(36, 5, 6, 10, 13, 17, 19)
(1, 3, 35, 38, 12, 25, 28)
(15, 16, 18, 19, 20, 27, 31)
(1, 36, 10, 11, 17, 21, 22)
(34, 38, 7, 10, 17, 29, 30)
(34, 4, 16, 17, 22, 29, 31)
(33, 2, 6, 8, 9, 14, 16)
(32, 37, 5, 38, 17, 20, 31)
(34, 38, 7, 15, 19, 22, 26)
(32, 9, 21, 22, 23, 28, 29)
(1, 34, 4, 5, 6, 9, 29)
(8, 12, 13, 18, 23, 26, 30)
(3, 36, 38, 39, 10, 11, 25)
(32, 34, 4, 5, 36, 13, 14)
(33, 4, 5, 12, 15, 24, 27)
